countrycode,party_abbr,party_id,year_first,year_last,seat_share,year
DEU,WAV,60013,1949,1949,3,1949
GRC,DIKKI,70008,1996,1996,3,1996
GRC,EK,70011,2015,2015,3,2015
GRC,MeRA25,70024,2019,2019,3,2019
ITA,ASV,100064,2022,2022,3,2022
CZE,SZ,200007,2002,2010,3,2006
HUN,PM,220014,2014,2022,3,2022
HUN,MHM,220016,2022,2022,3,2022
LTU,LTS,240011,1992,1996,3,1992
ROU,MER,270011,1990,1996,3,1990
DEU,DA-FVP,60011,1953,1953,2.9,1953
ITA,PR,100007,1976,2018,2.9,1979
ITA,AD,100040,1994,1994,2.9,1994
ITA,RnP,100028,2006,2006,2.9,2006
SVK,Z-NS,280024,2020,2020,2.9,2020
GRC,PE,70027,2023,2023,2.7,2023
ITA,Verdi,100005,1987,2013,2.7,1987
NLD,PSP,120003,1959,1986,2.7,1963
NLD,50PLUS,120028,2017,2021,2.7,2017
ESP,Others/Indep.,150099,1977,2016,2.6,1979
HRV,ŽZ,300005,2015,2016,2.6,2016
HRV,M!,300025,2020,2020,2.6,2020
DEU,Z,60009,1949,1953,2.5,1949
